step,buy_date,buy_day,buy_price,sell_date,sell_day,sell_price,shares,profit_loss,return_percent
0,2017-07-13,4376,50.0315,2017-07-26,4385,52.64,1998,4955.3561698722915,4.95100452345192
1,2017-07-27,4386,52.3,2017-08-09,4395,49.1005,1921,-6389.72943769455,-6.35200589686572
2,2017-08-10,4396,47.846,2017-08-23,4405,47.9,2087,-137.07759990693012,-0.13710581401375574
3,2017-08-24,4406,47.6225,2017-09-07,4415,48.9735,2096,2578.6101286315825,2.5801186251211323
4,2017-09-08,4416,48.295,2017-09-21,4425,48.2325,2072,-379.50621551513905,-0.37877774919597046
5,2017-09-22,4426,47.755,2017-10-05,4435,49.0425,2095,2443.820848560339,2.439629914533387
6,2017-10-06,4436,49.479,2017-10-19,4445,49.3305,2027,-551.3651055622031,-0.549062881593995
7,2017-10-20,4446,49.1455,2017-11-02,4455,54.711,2039,11083.346888723376,11.046569052931426
8,2017-11-03,4456,55.58,2017-11-16,4465,56.8645,1823,2085.403864035601,2.055618035434568
9,2017-11-17,4466,56.494,2017-12-01,4475,58.1175,1797,2659.9848992872285,2.616894674192803
10,2017-12-04,4476,56.6975,2017-12-15,4485,58.957,1796,3798.4219795799145,3.725550477893664
11,2017-12-18,4486,59.529,2018-01-02,4495,59.4505,1717,-390.1422603321116,-0.3812251898012741
12,2018-01-03,4496,60.21,2018-01-17,4505,64.75,1696,7434.926354675292,7.2717622873914545
13,2018-01-18,4506,64.666,2018-01-31,4515,72.5445,1591,12261.81912322044,11.90326757708749
14,2018-02-01,4516,69.5,2018-02-14,4525,72.5525,1498,4306.648497676855,4.131428867066991
15,2018-02-15,4526,73.088,2018-03-01,4535,74.6725,1430,2001.7176483154326,1.9128379919774932
16,2018-03-02,4536,75.0125,2018-03-15,4545,79.116,1396,5459.5322887420625,5.207075434977775
17,2018-03-16,4546,78.584,2018-03-29,4555,72.367,1340,-8583.626762962347,-8.141217710787178
18,2018-04-02,4556,68.5995,2018-04-13,4565,71.5395,1522,4208.0576564979565,4.025348941626596
19,2018-04-16,4566,72.075,2018-04-27,4575,78.631,1455,9264.883118820188,8.823680816472173
20,2018-04-30,4576,78.3065,2018-05-11,4585,80.1455,1351,2216.8989737415395,2.092908264039003
21,2018-05-14,4586,80.077,2018-05-25,4595,80.5075,1324,304.20963699340064,0.2865725844625957
22,2018-05-29,4596,80.6435,2018-06-11,4605,84.456,1315,4742.0551926612825,4.466105185243065
23,2018-06-12,4606,84.9375,2018-06-25,4615,83.1575,1254,-2495.6073836517317,-2.340112423353372
24,2018-06-26,4616,84.5545,2018-07-10,4625,87.1535,1257,2997.1551673221547,2.81640243875099
25,2018-07-11,4626,87.75,2018-07-24,4635,91.462,1214,4234.411347866058,3.9699469547482105
26,2018-07-25,4636,93.1805,2018-08-07,4645,93.124,1148,-332.2039780044579,-0.3101668594010998
27,2018-08-08,4646,94.326,2018-08-21,4655,94.171,1134,-442.96310474394704,-0.41360003739015244
28,2018-08-22,4656,95.245,2018-09-05,4665,99.741,1122,4771.03804006576,4.458977640406554
29,2018-09-06,4666,97.9155,2018-09-19,4675,96.321,1096,-2013.6734574890143,-1.8740644848560866
30,2018-09-20,4676,97.215,2018-10-03,4685,97.638,1102,197.74057060241466,0.18434798513622788
31,2018-10-04,4686,95.471,2018-10-17,4695,91.5865,1123,-4624.87389300346,-4.308301968082633
32,2018-10-18,4696,88.536,2018-10-31,4705,79.9005,1205,-10659.49181885719,-9.978999764957091
33,2018-11-01,4706,83.2765,2018-11-14,4715,79.9505,1269,-4479.608254823674,-4.233635237472152
34,2018-11-15,4716,80.972,2018-11-29,4725,83.6785,1299,3248.3886076927156,3.0844762562052335
35,2018-11-30,4726,84.5085,2018-12-14,4735,79.5955,1249,-6392.546879873276,-6.048790811904342
36,2018-12-17,4736,76.0455,2018-12-31,4745,75.0985,1379,-1566.4455424594926,-1.4918837257199946
37,2019-01-02,4746,76.9565,2019-01-15,4755,83.728,1361,8942.646506137855,8.527468380810221
38,2019-01-16,4756,84.189,2019-01-30,4765,83.5215,1255,-1100.8125639438658,-1.0405710913060673
39,2019-01-31,4766,85.9365,2019-02-13,4775,82.0,1228,-5091.80520290375,-4.818958874003113
40,2019-02-14,4776,81.1325,2019-02-28,4785,81.9915,1294,847.6944297218288,0.8064318411900159
41,2019-03-01,4786,83.5865,2019-03-14,4795,84.311,1257,646.8811867046315,0.614908593774429
42,2019-03-15,4796,85.618,2019-03-28,4805,88.671,1228,3481.552118339532,3.3072493936329694
43,2019-03-29,4806,89.0375,2019-04-11,4815,92.2035,1185,3483.2472066879272,3.2972393043780377
44,2019-04-12,4816,92.153,2019-04-26,4825,97.5315,1149,5907.4643085193675,5.572230475299853
45,2019-04-29,4826,96.9215,2019-05-10,4835,94.499,1098,-2922.630308761596,-2.742893103403847
46,2019-05-13,4836,91.134,2019-05-24,4845,91.164,1165,-230.52289066313824,-0.2168528613928542
47,2019-05-28,4846,91.8215,2019-06-10,4855,93.0315,1156,1131.6463502121042,1.0647949139847017
48,2019-06-11,4856,93.185,2019-06-24,4865,95.695,1140,2592.248439216608,2.43715551862038
